type,repo_name,actor_login,event,issue_url,html_url,title,created_at
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15403","https://github.com/twbs/bootstrap/issues/15403","Add search feature to the docs",2015-01-04 03:07:00.000000
IssuesEvent,twbs/bootstrap,Prismapanda,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15493","https://github.com/twbs/bootstrap/issues/15493","Improve visibility of text in <small> elements within panel-title of panel-primary",2015-01-05 17:55:11.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15142","https://github.com/twbs/bootstrap/issues/15142","Dropup without .btn-group does not work correctly.",2015-01-18 21:41:43.000000
IssuesEvent,twbs/bootstrap,cvrebert,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15597","https://github.com/twbs/bootstrap/issues/15597",".dropup should be mentioned in main Dropdown docs",2015-01-18 21:47:50.000000
IssuesEvent,twbs/bootstrap,redbmk,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15632","https://github.com/twbs/bootstrap/issues/15632","Firefox hangs on to tooltip after the item has been disabled and/or destroyed",2015-01-22 01:05:15.000000
IssuesEvent,twbs/bootstrap,hn1,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15574","https://github.com/twbs/bootstrap/issues/15574","Modal Backdrop",2015-01-15 16:07:29.000000
IssuesEvent,twbs/bootstrap,hn1,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15575","https://github.com/twbs/bootstrap/issues/15575","Modal Background",2015-01-15 16:10:07.000000
IssuesEvent,twbs/bootstrap,juthilo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15575","https://github.com/twbs/bootstrap/issues/15575","Modal Background",2015-01-15 16:29:06.000000
IssuesEvent,twbs/bootstrap,juthilo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15574","https://github.com/twbs/bootstrap/issues/15574","Modal Backdrop",2015-01-15 16:31:57.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15526","https://github.com/twbs/bootstrap/issues/15526","how to use different CSS in differne resolution",2015-01-09 02:18:46.000000
IssuesEvent,twbs/bootstrap,olafguesswhapp,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15664","https://github.com/twbs/bootstrap/issues/15664","Navbar: width of parent-entity <a> retains natural width of scaled down child-img",2015-01-24 19:10:37.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15664","https://github.com/twbs/bootstrap/issues/15664","Navbar: width of parent-entity <a> retains natural width of scaled down child-img",2015-01-24 19:35:06.000000
IssuesEvent,twbs/bootstrap,UPanel,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15546","https://github.com/twbs/bootstrap/issues/15546","bar appears",2015-01-12 15:00:10.000000
IssuesEvent,twbs/bootstrap,UPanel,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15546","https://github.com/twbs/bootstrap/issues/15546","bar appears",2015-01-12 15:12:30.000000
IssuesEvent,twbs/bootstrap,UPanel,"reopened","https://api.github.com/repos/twbs/bootstrap/issues/15546","https://github.com/twbs/bootstrap/issues/15546","bar appears",2015-01-12 15:12:31.000000
IssuesEvent,twbs/bootstrap,UPanel,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15546","https://github.com/twbs/bootstrap/issues/15546","bar appears",2015-01-12 15:17:27.000000
IssuesEvent,twbs/bootstrap,stefanmaric,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15586","https://github.com/twbs/bootstrap/issues/15586","Tag versions on gh-pages branch as well.",2015-01-16 13:34:38.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15646","https://github.com/twbs/bootstrap/issues/15646","* solved *",2015-01-23 16:01:31.000000
IssuesEvent,twbs/bootstrap,cvrebert,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15653","https://github.com/twbs/bootstrap/issues/15653","Document that centering .img-responsive requires .center-block",2015-01-23 16:12:31.000000
IssuesEvent,twbs/bootstrap,powange,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15654","https://github.com/twbs/bootstrap/issues/15654","[bootstrap 3] popover data-animation doesn't work",2015-01-23 16:29:52.000000
IssuesEvent,twbs/bootstrap,Misiu,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15689","https://github.com/twbs/bootstrap/issues/15689","[feature request] add step component",2015-01-28 14:15:55.000000
IssuesEvent,twbs/bootstrap,petrgrishin,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15690","https://github.com/twbs/bootstrap/issues/15690","[v2.3.*] Fix infinite focus loop in modal",2015-01-28 14:52:11.000000
IssuesEvent,twbs/bootstrap,end-user,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15691","https://github.com/twbs/bootstrap/issues/15691","empty form-control-static block changes height uniformity",2015-01-28 14:57:03.000000
IssuesEvent,twbs/bootstrap,gareth-gillman,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15485","https://github.com/twbs/bootstrap/issues/15485","Feedback idea: color attributes in separate css file",2015-01-03 19:03:44.000000
IssuesEvent,twbs/bootstrap,pavelhoral,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15718","https://github.com/twbs/bootstrap/issues/15718","Add support for modals with forced scrollbars (`overflow-y: scroll`)",2015-01-31 20:48:24.000000
